Texte;Label enrichi;Norme / Référence
Les accès aux environnements de production nécessitent une autorisation spécifique.;Conforme – Accès contrôlé;NIST AC-6
Les droits inactifs sont supprimés automatiquement après 30 jours.;Conforme – Politique préventive;ISO 27001 A.9.2.6
L’accès aux applications critiques est soumis à authentification forte.;Conforme – MFA exigée;ISO 27001 A.9.4.2
Les comptes temporaires sont désactivés à la date d’expiration prévue.;Conforme – Processus automatisé;NIST AC-2
Un contrôle d’accès logique est couplé au contrôle d’accès physique.;Conforme – Défense en profondeur;ISO 27001 A.11.1.1
Les logs d’accès sont analysés chaque semaine.;Conforme – Suivi continu;ISO 27001 A.12.4.1
Les accès VPN nécessitent un certificat nominatif.;Conforme – Authentification renforcée;ISO 27001 A.9.4.2
Les sessions utilisateurs expirent automatiquement après 15 minutes d’inactivité.;Conforme – Politique de session stricte;NIST AC-12
Chaque demande d’accès est tracée et archivée.;Conforme – Gouvernance documentaire;COBIT DSS05
Les comptes invités sont désactivés après l’événement.;Conforme – Cycle de vie contrôlé;ISO 27001 A.9.2.6
L’ouverture de comptes est conditionnée à une validation RH.;Conforme – Gouvernance inter-départements;ISO 27001 A.9.2.1
Les droits critiques sont attribués selon le principe du moindre privilège.;Conforme – Limitation des accès;ISO 27001 A.9.1.2
La revue trimestrielle des droits est documentée et approuvée.;Conforme – Contrôle périodique;NIST AC-2 j
L’usage des comptes partagés est interdit et remplacé par des identifiants nominatifs.;Conforme – Responsabilité individuelle;ISO 27001 A.9.2.3
Les accès aux bases de données sensibles nécessitent une double authentification.;Conforme – MFA appliquée;ISO 27001 A.9.4.2
Chaque suppression de compte est validée par le responsable d’application.;Conforme – Contrôle d’approbation;ISO 27001 A.9.2.6
Les connexions distantes passent par un bastion sécurisé.;Conforme – Accès supervisé;NIST AC-17
Les prestataires externes ont des comptes séparés avec durée limitée.;Conforme – Gestion des tiers;ISO 27001 A.9.2.6
Une liste des administrateurs habilités est maintenue et validée par la DSI.;Conforme – Gouvernance claire;COBIT DSS05
Les accès sont retirés immédiatement après le départ d’un collaborateur.;Conforme – Processus réactif;ISO 27001 A.9.2.6
Un contrôle d’intégrité est appliqué aux fichiers de logs.;Conforme – Preuve non altérable;ISO 27001 A.12.4.2
Les habilitations aux applications critiques sont validées par le métier.;Conforme – Validation métier;ISO 27001 A.9.2.1
Une procédure de recertification annuelle couvre tous les comptes.;Conforme – Gouvernance annuelle;ISO 27001 A.9.2.5
Les accès aux environnements sensibles nécessitent un badge physique et un mot de passe.;Conforme – Double barrière;ISO 27001 A.11.1.1
Les utilisateurs doivent renouveler leur mot de passe tous les 90 jours.;Conforme – Politique classique;NIST IA-5
Les comptes de service sont limités à leur usage strictement défini.;Conforme – Droits minimaux;ISO 27001 A.9.2.3
Les utilisateurs inactifs depuis 60 jours sont automatiquement suspendus.;Conforme – Gestion proactive;NIST AC-2 h
Chaque ouverture d’accès est notifiée au responsable hiérarchique.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.1
Les demandes d’accès sont validées via un outil centralisé.;Conforme – Processus outillé;COBIT DSS05
Les identifiants par défaut sont systématiquement modifiés à l’installation.;Conforme – Sécurité renforcée;NIST IA-5 f
Les droits sensibles nécessitent une approbation de la direction.;Conforme – Gouvernance renforcée;ISO 27001 A.9.2.1
Les administrateurs utilisent une authentification multi-facteurs.;Conforme – MFA exigée;ISO 27001 A.9.4.2
L’ensemble des accès est journalisé dans une base centralisée.;Conforme – Journalisation exhaustive;ISO 27001 A.12.4.1
Les comptes privilégiés sont régulièrement audités.;Conforme – Contrôle périodique;COBIT DSS06
Les droits d’accès sont revus semestriellement avec le métier.;Conforme – Revue documentée;ISO 27001 A.9.2.5
Les utilisateurs reçoivent une formation annuelle sur la gestion des accès.;Conforme – Sensibilisation en place;ISO 27001 A.7.2.2
La révocation des comptes est immédiate en cas de fraude.;Conforme – Mesure de sécurité;NIST AC-2 g
L’ouverture des comptes est conditionnée à la complétude du dossier employé.;Conforme – Processus rigoureux;ISO 27001 A.9.2.1
Les accès aux systèmes critiques sont attribués sur justification écrite.;Conforme – Gouvernance stricte;COBIT DSS05
Les droits techniques sont attribués temporairement et suivis par ticketing.;Conforme – Suivi des accès;ISO 27001 A.9.2.6
Les administrateurs se connectent via un compte nominatif et un compte technique séparé.;Conforme – Ségrégation d’usage;ISO 27001 A.9.2.3
Les accès au cloud sont gérés via un Identity Provider central.;Conforme – Gestion centralisée;ISO 27001 A.9.4.2
Les comptes génériques sont interdits et remplacés par des comptes personnels.;Conforme – Responsabilité renforcée;NIST AC-2
Les privilèges élevés nécessitent une validation multi-niveaux.;Conforme – Gouvernance hiérarchique;ISO 27001 A.9.1.2
Chaque réinitialisation de mot de passe est tracée et validée.;Conforme – Suivi rigoureux;ISO 27001 A.9.4.3
Les droits des prestataires sont systématiquement supprimés après contrat.;Conforme – Cycle de vie contrôlé;ISO 27001 A.9.2.6
Les accès aux serveurs critiques nécessitent un jeton matériel.;Conforme – Authentification forte;NIST IA-2
Les sessions administrateurs sont limitées dans le temps.;Conforme – Contrôle de durée;ISO 27001 A.9.4.2
Chaque rôle applicatif est documenté et approuvé.;Conforme – Gouvernance par rôles;ISO 27001 A.9.2.1
La DSI valide chaque dérogation d’accès exceptionnelle.;Conforme – Gestion des exceptions;COBIT DSS05
Les droits sensibles sont audités par un tiers indépendant.;Conforme – Contrôle externe;ISO 27001 A.18.2.3
Les comptes techniques nécessitent une approbation spécifique.;Conforme – Gouvernance adaptée;NIST AC-2 d
Les utilisateurs doivent signer une charte d’utilisation avant obtention d’un accès.;Conforme – Engagement utilisateur;ISO 27001 A.7.2.2
Les logs d’accès sont archivés pendant 12 mois.;Conforme – Archivage conforme;ISO 27001 A.12.4.1
Chaque demande d’accès est soumise à un workflow d’approbation électronique.;Conforme – Gouvernance automatisée;ISO 27001 A.9.2.1
Les mots de passe doivent contenir au moins 12 caractères avec complexité.;Conforme – Politique robuste;NIST IA-5
Les comptes inactifs sont purgés tous les 45 jours.;Conforme – Gestion des comptes;ISO 27001 A.9.2.6
Les accès aux systèmes financiers sont soumis à une double validation.;Conforme – Sécurité renforcée;SOX 404
Chaque administrateur utilise un compte à usage unique pour les actions sensibles.;Conforme – Ségrégation renforcée;ISO 27001 A.9.2.3
Les privilèges étendus font l’objet d’un contrôle trimestriel.;Conforme – Gouvernance périodique;COBIT DSS05
Les utilisateurs ne peuvent pas cumuler rôles métier et rôles techniques.;Conforme – Ségrégation stricte;ISO 27001 A.6.1.2
Chaque nouveau logiciel est configuré sans identifiants par défaut.;Conforme – Politique systématique;NIST IA-5 f
Les sessions inactives sont automatiquement bloquées au-delà de 10 minutes.;Conforme – Politique stricte;NIST AC-12
Un mécanisme d’authentification biométrique est utilisé pour certains accès.;Conforme – MFA renforcée;ISO 27001 A.9.4.2
L’habilitation d’un utilisateur est toujours reliée à un rôle métier.;Conforme – Gouvernance par rôles;ISO 27001 A.9.1.2
Les accès aux fichiers sensibles nécessitent une approbation formelle.;Conforme – Gouvernance documentaire;ISO 27001 A.9.2.1
La gestion des comptes est automatisée via un outil IAM.;Conforme – Processus automatisé;ISO 27001 A.9.2.6
